Reviews,Sentiment_Label,Sentiment_Score
"Alhamdulillah, the result is the best this soap... I have used many different soaps, the effect of fly tying on my clothes still does not go away... but with this champaca soap, all the problems continue to disappear.... thank you seller old cloths looks like new:",Positive,0.9582274556159973
It's really effective in removing dirt..do it twice..soak it with hot water..it won't disappear completely.. but it has faded a little bit,Positive,0.767553985
Worth buying at an affordable price,Positive,0.6609804034233093
The noodles are thick and the mushroom powder is really thick. The best,Positive,0.9610438942909241
"Thanks seller, my item arrived safely in good condition packaging is very neat and safe until then we cook it is deliciouscan buy again..",Positive,0.9817822575569153
Son and husband like it. This is what our family likes the most.,Positive,0.9440712332725525
"Ok, quality goods, got a free gift of spring rubber for long-lasting cables",Positive,0.8450793027877808
"the goods fast delivery in good condition both can be used, cheap and worth it..Highly recommend",Positive,0.9693812131881714
"The products advertised on TikTok are so misleading! I bought something based on a TikTok recommendation, and it was nothing like the video. Total waste of money",Negative,0.9703888297080994
"I’ve seen so many influencers promoting overpriced items that don’t work. TikTok is turning into one big ad platform, and it’s hard to trust anything anymore.",Negative,0.9297617673873901
"I ordered a skincare product through a TikTok ad, and it was poor quality. I tried to return it, but customer service was awful. Never again!",Negative,0.9752683639526367
TikTok social commerce feels like a scam. Products promoted by influencers are often low-quality knock-offs. Be careful what you buy here!,Negative,0.938659132
"TikTok should have a better way to verify sellers. Half the stuff advertised doesn’t even arrive, and when it does, it’s completely different from the video.",Negative,0.7161173820495605
"I love discovering new products on TikTok! It’s so easy to find unique items, and I trust the recommendations from my favorite influencers.",Positive,0.9922539591789246
"Shopping through TikTok has been so convenient. Just a few taps, and my order was on its way. Great experience!",Positive,0.9909232258796692
"The reviews on TikTok feel more real than on other platforms. I can actually see people using the products, which makes it easier to decide.",Positive,0.8709720373153687
I love how TikTok combines entertainment and shopping! I found some great deals from small businesses that I wouldn’t have come across otherwise.,Positive,0.9869699478149414
TikTok is the best platform for discovering trending products. The ads and influencer recommendations are spot on!,Positive,0.9886330962181091
"TikTok has made shopping so fun! It’s like window shopping, but I actually find things I want to buy right away.",Positive,0.9827793836593628
I love that TikTok supports small businesses! I’ve discovered so many unique items and feel good about supporting local sellers.,Positive,0.9925164580345154
"I’ve saved so much time shopping on TikTok. It’s so convenient to buy what I need right from the app, and I haven’t been disappointed yet.",Positive,0.971734881
The customer service is practically nonexistent if you buy something through TikTok. They make it hard to get any support when things go wrong,Negative,0.9601490497589111
"I lied about making 50k/month on Tiktokshop… I actually deposited over 100k in the bank so far this month. Last time I sent out a video breaking down how to go viral and how I did it Now I’m giving out 3 brands you can promote TODAY to hit your first 10, 20, 30 and 100k month Just Retweet and comment",Neutral,0.6149620413780212
Tiktokshop is better then shopee right now Agree ,Positive,0.7091732025146484
The best money saver when it comes to collecting pet hair is now on tiktokshop for super cheap!!!,Positive,0.9658328294754028
Tiktok Shop is an opportunity you don’t want to miss.. Launched this product last week This is from one micro-influencer post (that I paid $0 for),Positive,0.9304431080818176
tiktokshop ja slalu like do you see the price? that's like 70% cheaper than Watson's—it's insane! And it's cheaper than shopee too even though both are from an official store,Positive,0.9290911555290222
i do love branded luxury items but i do love cheap cheap items too. tiktokshop my saviouuuuur!,Positive,0.9779326915740967
This week we officially got the Malaysia Book of Records - for the fastest 1 million ringgit sale on TikTok Shop during our Dendeng Nyet launch last month. This is a new milestone for me and my team.,Positive,0.9598096609115601
"The team prefers Milo X and Dancow over Milo Malay, btw, TikTok Shop is also cheap. - A personal preference about a drink, and a mention about the price on TikTok Shop.",Positive,0.6050419807434082
I always restock Cosrx products from TikTok Shop - because the price is insane! It's like 70% cheaper than Watson's.,Positive,0.8373351097106934
It depends. - I compared prices for a 4-tier shelf I bought on Shopee yesterday. Shopee was cheaper because I had points and a RM10 shipping voucher.,Neutral,0.5629867315292358
"50-50. - Sometimes Shopee is cheaper, sometimes TikTok Shop has good deals with free shipping and discounts",Positive,0.8982719779014587
"TikTok Shop was good at first because of all the discounts. - But now there are no more discounts, and you have to pay for shipping. Shopee is cheaper, but TikTok Shop's delivery is faster.",Positive,0.8401010632514954
"TikTok Shop's shipping fee is a bit higher than Shopee. - Lately, Shopee has been lagging, and sometimes payments get stuck.",Negative,0.7669075131416321
A $7 camera from TikTok Shop saved me! - A personal anecdote about a good deal.,Positive,0.97652483
I bought a cheap Malay outfit for only RM51 on TikTok during a live sale.,Neutral,0.5213465094566345
"I use cheap stuff, I buy from TikTok Shop because it's cheap and you get a lot. - Sometimes I even use the perfume as a body mist.",Positive,0.5608009696006775
"Shopee and Lazada are like Watsons and Guardian. - TikTok Shop is like Mydin, with super low prices and lots of vouchers.",Positive,0.704786479
"Everyone is buying from TikTok. - I even bought Raya clothes on TikTok. It's so cheap, I could get two outfits for the price of one.",Positive,0.8911625146865845
TikTok is like a glorified night market. - They sell cheap stuff and claim it's premium.,Negative,0.7005392909049988
"If you're looking for comfortable and cheap gym clothes, - buy the Advo brand on TikTok. It's only RM7 per piece.",Positive,0.6636726260185242
You have no idea how much you can save by shopping on TikTok. - Most of my gym clothes are from TikTok.,Positive,0.7606832385063171
TikTok Shop is revolutionizing online shopping!,Positive,0.9192796349525452
Love the seamless shopping experience on TikTok.,Positive,0.9863985180854797
TikTok Shop is changing the game.,Neutral,0.6164801120758057
"So easy to shop on TikTok, it's addictive!",Positive,0.9807292819023132
TikTok Shop is the future of social commerce.,Positive,0.8783835768699646
I can't stop shopping on TikTok!,Positive,0.8158475160598755
TikTok Shop is the best thing to happen to online shopping.,Positive,0.9878660440444946
TikTok Shop's short-form video format is perfect for showcasing products.,Positive,0.9702268838882446
The algorithm on TikTok is amazing for discovering new products.,Positive,0.9867333769798279
TikTok Shop's live shopping feature is super engaging.,Positive,0.9803362488746643
TikTok Shop is bridging the gap between social media and ecommerce.,Positive,0.7217124700546265
TikTok Shop is helping me grow my small business.,Positive,0.956375003
TikTok Shop is making shopping more personalized.,Positive,0.7962799072265625
I'm so impressed with the quality of products on TikTok Shop.,Positive,0.9876837134361267
TikTok Shop is a great way to reach a younger audience.,Positive,0.9799129962921143
TikTok Shop is a cost-effective way to market my products.,Positive,0.9335134625434875
TikTok Shop is the future of digital marketing.,Positive,0.890841007
I'm so glad I started selling on TikTok Shop.,Positive,0.9823554158210754
TikTok Shop is helping me build a loyal customer base.,Positive,0.9493083953857422
I've had a few bad experiences with counterfeit products on TikTok Shop,Negative,0.9473658204078674
I wish TikTok Shop would offer more buyer protection,Neutral,0.5620132684707642
It's easy to get lost in the endless scroll of TikTok Shop,Neutral,0.4887641370296478
The TikTok Shop app can be buggy and slow at times.,Negative,0.9324567914009094
The search function on TikTok Shop isn't very user-friendly,Negative,0.9070513844490051
I've had multiple instances where products didn't match the description or the image shown online,Negative,0.8492791056632996
The shipping times on TikTok Shop are unpredictable. Sometimes it takes weeks to receive my orders,Negative,0.6544259786605835
I've had packages get lost or damaged during shipping,Negative,0.8759964108467102
"The customer service on TikTok Shop is terrible. It's hard to get in touch with a real person, and they're not helpful when you do.",Negative,0.9662403464317322
"I've had issues with returns and refunds, and it's been a nightmare to resolve them",Negative,0.9388547539710999
